"Date","Clicks","Impressions","Avg. CTR"
"5/31/2026 12:00:00 AM","0","32","0"
"6/1/2026 12:00:00 AM","0","34","0"
"6/2/2026 12:00:00 AM","0","21","0"
"6/3/2026 12:00:00 AM","0","46","0"
"6/4/2026 12:00:00 AM","2","66","3.03"
"6/5/2026 12:00:00 AM","1","35","2.86"
"6/6/2026 12:00:00 AM","0","30","0"
"6/7/2026 12:00:00 AM","0","22","0"
"6/8/2026 12:00:00 AM","1","62","1.61"
"6/9/2026 12:00:00 AM","0","58","0"
"6/10/2026 12:00:00 AM","2","74","2.7"
"6/11/2026 12:00:00 AM","1","45","2.22"
"6/12/2026 12:00:00 AM","0","37","0"
"6/13/2026 12:00:00 AM","0","27","0"
"6/14/2026 12:00:00 AM","0","18","0"
"6/15/2026 12:00:00 AM","0","56","0"
"6/16/2026 12:00:00 AM","2","54","3.7"
"6/17/2026 12:00:00 AM","0","60","0"
"6/18/2026 12:00:00 AM","0","58","0"
"6/19/2026 12:00:00 AM","2","48","4.17"
"6/20/2026 12:00:00 AM","0","20","0"
"6/21/2026 12:00:00 AM","0","0","0"
"6/22/2026 12:00:00 AM","0","0","0"
"6/23/2026 12:00:00 AM","0","0","0"
"6/24/2026 12:00:00 AM","0","0","0"
"6/25/2026 12:00:00 AM","0","0","0"
"6/26/2026 12:00:00 AM","0","0","0"
"6/27/2026 12:00:00 AM","0","0","0"
"6/28/2026 12:00:00 AM","0","0","0"
"6/29/2026 12:00:00 AM","0","0","0"
"6/30/2026 12:00:00 AM","0","0","0"
"7/1/2026 12:00:00 AM","0","0","0"
"7/2/2026 12:00:00 AM","0","1","0"
"7/3/2026 12:00:00 AM","0","0","0"
"7/4/2026 12:00:00 AM","0","0","0"
"7/5/2026 12:00:00 AM","0","0","0"
"7/6/2026 12:00:00 AM","0","1","0"
"7/7/2026 12:00:00 AM","0","0","0"
"7/8/2026 12:00:00 AM","0","1","0"
"7/9/2026 12:00:00 AM","0","0","0"
"7/10/2026 12:00:00 AM","0","1","0"
"7/11/2026 12:00:00 AM","0","0","0"
"7/12/2026 12:00:00 AM","0","0","0"
"7/13/2026 12:00:00 AM","0","1","0"
"7/14/2026 12:00:00 AM","0","1","0"
"7/15/2026 12:00:00 AM","0","6","0"
"7/16/2026 12:00:00 AM","0","8","0"
"7/17/2026 12:00:00 AM","0","12","0"
"7/18/2026 12:00:00 AM","0","0","0"
"7/19/2026 12:00:00 AM","0","6","0"
"7/20/2026 12:00:00 AM","1","6","16.67"
"7/21/2026 12:00:00 AM","0","3","0"
"7/22/2026 12:00:00 AM","0","8","0"
"7/23/2026 12:00:00 AM","0","2","0"
"7/24/2026 12:00:00 AM","0","7","0"
"7/25/2026 12:00:00 AM","0","11","0"
"7/26/2026 12:00:00 AM","0","1","0"
"7/27/2026 12:00:00 AM","0","0","0"
"7/28/2026 12:00:00 AM","0","5","0"
"7/29/2026 12:00:00 AM","0","8","0"
"7/30/2026 12:00:00 AM","0","0","0"
"7/31/2026 12:00:00 AM","0","2","0"
"8/1/2026 12:00:00 AM","0","6","0"
"8/2/2026 12:00:00 AM","0","1","0"
"8/3/2026 12:00:00 AM","0","1","0"
"8/4/2026 12:00:00 AM","0","4","0"
"8/5/2026 12:00:00 AM","0","9","0"
"8/6/2026 12:00:00 AM","0","0","0"
"8/7/2026 12:00:00 AM","0","10","0"
"8/8/2026 12:00:00 AM","0","0","0"
"8/9/2026 12:00:00 AM","0","1","0"
"8/10/2026 12:00:00 AM","0","0","0"
"8/11/2026 12:00:00 AM","0","0","0"
"8/12/2026 12:00:00 AM","0","3","0"
"8/13/2026 12:00:00 AM","0","4","0"
"8/14/2026 12:00:00 AM","0","0","0"
"8/15/2026 12:00:00 AM","0","1","0"
"8/16/2026 12:00:00 AM","0","0","0"
"8/17/2026 12:00:00 AM","0","2","0"
"8/18/2026 12:00:00 AM","0","1","0"
"8/19/2026 12:00:00 AM","0","0","0"
"8/20/2026 12:00:00 AM","0","0","0"
"8/21/2026 12:00:00 AM","0","0","0"
"8/22/2026 12:00:00 AM","0","0","0"
"8/23/2026 12:00:00 AM","0","0","0"
"8/24/2026 12:00:00 AM","0","1","0"
"8/25/2026 12:00:00 AM","0","3","0"
"8/26/2026 12:00:00 AM","0","1","0"
"8/27/2026 12:00:00 AM","0","1","0"
"8/28/2026 12:00:00 AM","0","0","0"
"8/29/2026 12:00:00 AM","0","0","0"
